Solver:   GLPSOL 3.0.4 (options used: --simplex)
Computer: Pentium II MMX 266 MHz
Platform: Debian GNU/Linux 2.2
Compiler: GCC 2.95.2 (options used: -O3)
Test set: netlib lp collection <ftp://ftp.netlib.org/lp/data/>

Problem    Rows   Cols  Nonzeros    Optimum     Iters  Time,s  Mem,MB
SCAGR7      130    140       553  -2.33139E+06     97     0.1    0.2
SCFXM1      331    457      2612  +1.84168E+04    245     0.4    0.5
SCFXM2      661    914      5229  +3.66603E+04    525     1.8    1.0
SCFXM3      991   1371      7846  +5.49013E+04    781     3.8    1.5
SCORPION    389    358      1708  +1.87812E+03    213     0.3    0.5
SCRS8       491   1169      4029  +9.04297E+02    316     1.0    0.9
SCSD1        78    760      3148  +8.66667E+00    115     0.3    0.5
SCSD6       148   1350      5666  +5.05000E+01    251     1.0    0.8
SCSD8       398   2750     11334  +9.05000E+02    461     3.4    1.7
SCTAP1      301    480      2052  +1.41225E+03    182     0.3    0.5
SCTAP2     1091   1880      8124  +1.72481E+03    437     2.5    1.7
SCTAP3     1481   2480     10734  +1.42400E+03    587     4.7    2.2
SEBA        516   1028      4874  +1.57116E+04    275     0.5    0.9
SHARE1B     118    225      1182  -7.65893E+04    106     0.1    0.2
SHARE2B      97     79       730  -4.15732E+02     75     0.0    0.2
SHELL       537   1775      4900  +1.20883E+09    473     2.1    1.1 (a)
SHIP04L     403   2118      8450  +1.79332E+06    405     1.9    1.3
SHIP04S     403   1458      5810  +1.79871E+06    295     1.0    1.0
SHIP08L     779   4283     17085  +1.90906E+06    830     8.9    2.7
SHIP08S     779   2387      9501  +1.92010E+06    486     2.6    1.7
SHIP12L    1152   5427     21597  +1.47019E+06   1082    15.7    3.5
SHIP12S    1152   2763     10941  +1.48924E+06    486     3.3    2.1
SIERRA     1228   2036      9252  +1.53944E+07    465     2.8    1.9
STAIR       357    467      3857  -2.51267E+02    293     0.8    0.8
STANDATA    360   1075      3038  +1.25770E+03    130     0.3    0.7
STANDGUB    362   1184      3147  +1.25770E+03    130     0.4    0.7
STANDMPS    468   1075      3686  +1.40602E+03    228     0.6    0.8
STOCFOR1    118    111       474  -4.11320E+04     14     0.0    0.1
STOCFOR2   2158   2031      9492  -3.90244E+04    461     4.0    2.4
STOCFOR3  16676  15695     74004  -3.99768E+04   4001   337.2   18.6
TRUSS      1001   8806     36642  +4.58816E+05   3754   120.0    5.2
TUFF        334    587      4523  +2.92148E-01    106     0.3    0.7
VTP-BASE    199    203       914  +1.29831E+05    138     0.1    0.3
WOOD1P      245   2594     70216  +1.44290E+00    388    12.4    5.1
WOODW      1099   8405     37478  +1.30448E+00   1386    37.2    5.2

(*) objective value may differ from values given in other sources due
    to a constant term of the objective function specified in the mps
    file; without this term the optimum is -1.87519e+01.

(a) numerical instability

(b) fiasco due to primal degeneracy
